Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Ascension totale,Descente totale,Longueur moyenne des foulées,Cadence de course moyenne,Cadence de course maximale,Training Stress Score® (TSS®),Pas,Consommation du Body Battery,Décompression,Temps du meilleur circuit,Nombre de tours,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Course à pied,2026-07-26 11:31:00,false,"Camphin-en-Pévèle Autre","14.78","--","01:33:02","138","166","--","--","6:18","4:35","52","51","--","72","93","0.0","--","--","Non","01:53:02","1","01:34:11","01:53:02","35","57"
Course à pied,2026-07-24 12:11:59,false,"Camphin-en-Pévèle Course à pied","7.67","388","00:54:43","134","146","168","177","7:08","5:55","13","13","0.83","--","--","0.0","9,206","'-8","Non","00:04:54.1","8","00:54:37","00:54:48","47","57"
Course à pied,2026-07-22 17:51:41,false,"Libercourt - 3x6min","8.32","439","00:50:11","154","181","174","190","6:02","3:57","44","43","0.95","--","--","0.0","8,708","'-12","Non","00:00:18.5","14","00:50:07","00:51:30","27","45"
Course à pied,2026-07-20 18:00:44,false,"Camphin-en-Pévèle Course à pied","7.35","372","00:51:45","134","150","169","179","7:02","5:45","15","15","0.84","--","--","0.0","8,744","'-8","Non","00:02:23.5","8","00:51:43","00:51:45","47","57"
Course à pied,2026-07-19 11:41:45,false,"Camphin-en-Pévèle Course à pied","12.28","634","01:15:59","146","155","174","181","6:11","5:45","21","20","0.93","--","--","0.0","13,250","'-20","Non","00:01:41.3","13","01:15:46","01:15:59","47","59"
Course à pied,2026-07-17 12:21:06,false,"Camphin-en-Pévèle Course à pied","7.33","392","00:50:23","145","161","170","180","6:53","6:11","12","13","0.85","--","--","0.0","8,570","'-20","Non","00:02:10.0","8","00:50:20","00:50:23","47","57"
Course à pied,2026-07-15 20:17:19,false,"Camphin-en-Pévèle - Seuil 2x2km","8.32","440","00:50:26","155","179","174","185","6:04","4:48","12","12","0.95","--","--","0.0","8,758","'-11","Non","00:02:00","10","00:50:16","00:50:30","47","57"
Course à pied,2026-07-13 20:23:03,false,"Camphin-en-Pévèle Course à pied","7.33","376","00:49:07","137","148","169","176","6:42","6:05","13","13","0.88","--","--","0.0","8,280","'-8","Non","00:02:12.2","8","00:49:04","00:49:07","47","57"
Course à pied,2026-07-10 18:24:34,false,"Camphin-en-Pévèle Course à pied","7.35","383","00:52:59","141","153","169","177","7:13","6:27","11","12","0.82","--","--","0.0","8,912","'-10","Non","00:02:30.0","8","00:52:57","00:52:59","47","57"
Course à pied,2026-07-08 17:41:31,false,"Libercourt Course à pied","7.19","394","00:48:50","145","177","170","205","6:48","5:37","63","65","0.86","--","--","0.0","8,320","'-13","Non","00:01:13.8","8","00:48:39","00:51:56","26","55"
Course à pied,2026-07-06 19:55:49,false,"Camphin-en-Pévèle Course à pied","12.29","622","01:28:33","136","150","169","177","7:12","5:48","23","23","0.82","--","--","0.0","14,998","'-12","Non","00:02:03.5","13","01:28:30","01:28:33","47","59"
Course à pied,2026-07-03 12:10:58,false,"Camphin-en-Pévèle Course à pied","6.33","357","00:39:56","158","171","174","181","6:19","5:14","7","10","0.91","--","--","0.0","6,946","'-20","Non","00:02:03.3","7","00:39:54","00:39:56","48","57"
Course à pied,2026-07-01 17:17:51,false,"Libercourt Course à pied","10.20","547","01:05:29","148","167","171","185","6:25","5:14","54","53","0.91","--","--","0.0","11,222","'-12","Non","00:01:06.1","11","01:05:26","01:05:29","29","66"
