Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,GAP moyenne,Normalized Power® (NP®),Training Stress Score® (TSS®),Puissance moyenne,Puissance max.,Pas,Consommation du Body Battery,Décompression,Temps du meilleur circuit,Nombre de tours,Stress moyen,Stress maximal,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Course à pied,2026-08-16 13:16:37,false,"Libercourt Course à pied","15.51","1,026","01:40:50","144","164","3.5","165","172","6:30","5:27","73","72","0.93","9.4","8.8","276","6:30","254","0.0","252","336","16,580","--","--","'-25","Non","00:03:13.9","16","01:40:12","01:50:25","27","62"
Course à pied,2026-08-15 18:46:59,false,"Libercourt Course à pied","7.18","478","00:46:24","138","169","3.0","163","170","6:28","5:35","89","90","0.95","9.4","8.9","278","6:22","270","0.0","263","392","7,592","--","--","'-7","Non","00:01:11.0","8","00:46:19","00:48:08","25","59"
Course à pied,2026-08-13 11:45:31,false,"Libercourt Course à pied","6.02","400","00:40:09","136","150","2.6","164","172","6:40","5:04","24","25","0.91","9.5","8.7","279","6:40","245","0.0","244","343","6,614","--","--","'-11","Non","00:00:05.4","7","00:40:06","00:41:02","30","44"
Course à pied,2026-08-11 12:11:50,false,"Villeneuve-d'Ascq Course à pied","8.02","505","00:52:40","128","154","2.7","164","173","6:34","5:05","44","50","0.92","9.5","8.7","278","6:35","254","0.0","251","382","8,654","--","--","'-10","Non","00:00:06.0","9","00:52:26","00:56:01","38","57"
Course à pied,2026-08-09 10:14:33,false,"Libercourt Course à pied","20.02","1,292","02:12:08","137","154","3.8","165","176","6:36","5:39","89","93","0.92","9.5","8.7","278","6:36","247","0.0","246","322","21,826","'-24","Non","00:00:05.3","21","--","--","02:12:03","02:14:42","27","65"
Course à pied,2026-08-08 17:19:15,false,"Libercourt Course à pied","4.11","286","00:24:22","154","168","3.1","165","173","5:55","5:03","37","11","1.02","9.0","9.2","270","5:50","286","0.0","285","340","4,020","'-7","Non","00:00:39.7","5","--","--","00:24:19","00:24:22","31","68"
Course à pied,2026-08-07 12:19:17,false,"Villeneuve-d'Ascq Course à pied","6.01","397","00:39:43","135","154","2.7","164","171","6:37","3:38","46","43","0.92","9.5","8.7","279","6:35","251","0.0","248","498","6,526","'-9","Non","00:00:03.8","7","--","--","00:39:41","00:40:02","41","56"
Course à pied,2026-08-05 12:10:13,false,"Villeneuve-d'Ascq - fractionné seuil","8.39","542","00:48:07","149","175","3.6","165","174","5:44","3:24","23","28","1.04","8.9","9.2","266","5:47","294","0.0","283","538","7,944","'-12","Non","00:00:01.4","11","--","--","00:48:04","00:48:07","35","45"
Course à pied,2026-08-04 08:36:06,false,"Libercourt Course à pied","7.02","457","00:46:07","138","171","2.9","162","171","6:34","5:16","78","82","0.93","9.5","8.8","279","6:31","254","0.0","252","528","7,488","'-13","Non","00:00:05.0","8","--","--","00:46:00","00:51:06","23","56"
Course à pied,2026-08-02 10:43:03,false,"Libercourt Course à pied","18.52","1,236","01:58:29","144","164","4.0","165","174","6:24","5:29","77","80","0.95","9.4","8.9","276","6:24","259","0.0","257","350","19,542","'-27","Non","00:03:14.8","19","--","--","01:58:22","02:02:05","30","67"
